id,class
10001,GALAXY
10002,GALAXY
10003,GALAXY
10004,GALAXY
10005,GALAXY
10006,GALAXY
10007,GALAXY
10008,GALAXY
10009,GALAXY
10010,GALAXY
10011,GALAXY
10012,GALAXY
10013,GALAXY
10014,GALAXY
10015,GALAXY
10016,GALAXY
10017,GALAXY
10018,GALAXY
10019,GALAXY
10020,GALAXY
10021,GALAXY
10022,GALAXY
10023,GALAXY
10024,GALAXY
10025,GALAXY
10026,GALAXY
10027,GALAXY
10028,GALAXY
10029,GALAXY
10030,GALAXY
10031,GALAXY
10032,GALAXY
10033,GALAXY
10034,GALAXY
10035,GALAXY
10036,GALAXY
10037,GALAXY
10038,GALAXY
10039,GALAXY
10040,GALAXY
10041,GALAXY
10042,GALAXY
10043,GALAXY
10044,GALAXY
10045,GALAXY
10046,GALAXY
10047,GALAXY
10048,GALAXY
10049,GALAXY
10050,GALAXY
10051,GALAXY
10052,GALAXY
10053,GALAXY
10054,GALAXY
10055,GALAXY
10056,GALAXY
10057,GALAXY
10058,GALAXY
10059,GALAXY
10060,GALAXY
10061,GALAXY
10062,GALAXY
10063,GALAXY
10064,GALAXY
10065,GALAXY
10066,GALAXY
10067,GALAXY
10068,GALAXY
10069,GALAXY
10070,GALAXY
10071,GALAXY
10072,GALAXY
10073,GALAXY
10074,GALAXY
10075,GALAXY
10076,GALAXY
10077,GALAXY
10078,GALAXY
10079,GALAXY
10080,GALAXY
10081,GALAXY
10082,GALAXY
10083,GALAXY
10084,GALAXY
10085,GALAXY
10086,GALAXY
10087,GALAXY
10088,GALAXY
10089,GALAXY
10090,GALAXY
10091,GALAXY
10092,GALAXY
10093,GALAXY
10094,GALAXY
10095,GALAXY
10096,GALAXY
10097,GALAXY
10098,GALAXY
10099,GALAXY
10100,GALAXY
10101,GALAXY
10102,GALAXY
10103,GALAXY
10104,GALAXY
10105,GALAXY
10106,GALAXY
10107,GALAXY
10108,GALAXY
10109,GALAXY
10110,GALAXY
10111,GALAXY
10112,GALAXY
10113,GALAXY
10114,GALAXY
10115,GALAXY
10116,GALAXY
10117,GALAXY
10118,GALAXY
10119,GALAXY
10120,GALAXY
10121,GALAXY
10122,GALAXY
10123,GALAXY
10124,GALAXY
10125,GALAXY
10126,GALAXY
10127,GALAXY
10128,GALAXY
10129,GALAXY
10130,GALAXY
10131,GALAXY
10132,GALAXY
10133,GALAXY
10134,GALAXY
10135,GALAXY
10136,GALAXY
10137,GALAXY
10138,GALAXY
10139,GALAXY
10140,GALAXY
10141,GALAXY
10142,GALAXY
10143,GALAXY
10144,GALAXY
10145,GALAXY
10146,GALAXY
10147,GALAXY
10148,GALAXY
10149,GALAXY
10150,GALAXY
10151,GALAXY
10152,GALAXY
10153,GALAXY
10154,GALAXY
10155,GALAXY
10156,GALAXY
10157,GALAXY
10158,GALAXY
10159,GALAXY
10160,GALAXY
10161,GALAXY
10162,GALAXY
10163,GALAXY
10164,GALAXY
10165,GALAXY
10166,GALAXY
10167,GALAXY
10168,GALAXY
10169,GALAXY
10170,GALAXY
10171,GALAXY
10172,GALAXY
10173,GALAXY
10174,GALAXY
10175,GALAXY
10176,GALAXY
10177,GALAXY
10178,GALAXY
10179,GALAXY
10180,GALAXY
10181,GALAXY
10182,GALAXY
10183,GALAXY
10184,GALAXY
10185,GALAXY
10186,GALAXY
10187,GALAXY
10188,GALAXY
10189,GALAXY
10190,GALAXY
10191,GALAXY
10192,GALAXY
10193,GALAXY
10194,GALAXY
10195,GALAXY
10196,GALAXY
10197,GALAXY
10198,GALAXY
10199,GALAXY
10200,GALAXY
10201,GALAXY
10202,GALAXY
10203,GALAXY
10204,GALAXY
10205,GALAXY
10206,GALAXY
10207,GALAXY
10208,GALAXY
10209,GALAXY
10210,GALAXY
10211,GALAXY
10212,GALAXY
10213,GALAXY
10214,GALAXY
10215,GALAXY
10216,GALAXY
10217,GALAXY
10218,GALAXY
10219,GALAXY
10220,GALAXY
10221,GALAXY
10222,GALAXY
10223,GALAXY
10224,GALAXY
10225,GALAXY
10226,GALAXY
10227,GALAXY
10228,GALAXY
10229,GALAXY
10230,GALAXY
10231,GALAXY
10232,GALAXY
10233,GALAXY
10234,GALAXY
10235,GALAXY
10236,GALAXY
10237,GALAXY
10238,GALAXY
10239,GALAXY
10240,GALAXY
10241,GALAXY
10242,GALAXY
10243,GALAXY
10244,GALAXY
10245,GALAXY
10246,GALAXY
10247,GALAXY
10248,GALAXY
10249,GALAXY
10250,GALAXY
10251,GALAXY
10252,GALAXY
10253,GALAXY
10254,GALAXY
10255,GALAXY
10256,GALAXY
10257,GALAXY
10258,GALAXY
10259,GALAXY
10260,GALAXY
10261,GALAXY
10262,GALAXY
